Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Other Motive Description,Arrest Date,Arrest Id
2.01905E+14,2019,2,02/08/2019,46,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL(GAY),Sexual Orientation,,02/08/2019,B19606200
2.01905E+14,2019,3,03/09/2019,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,,03/09/2019,B19610772
2.01905E+14,2019,3,03/08/2019,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,,03/09/2019,B19610788
2.01905E+14,2019,3,03/10/2019,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,,03/09/2019,B19610788
2.01904E+14,2019,5,05/11/2019,42,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-ISLAMIC(MUSLIM),Religion/Religious Practice,,05/10/2019,B19620156
2.01904E+14,2019,5,05/11/2019,42,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-ISLAMIC(MUSLIM),Religion/Religious Practice,,05/10/2019,B19620157
2.01904E+14,2019,5,05/11/2019,42,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-ISLAMIC(MUSLIM),Religion/Religious Practice,,05/10/2019,B19620158
2.01904E+14,2019,6,06/01/2019,40,PATROL BORO BRONX,BRONX,FELONY,RAPE,RAPE 1,ANTI-WHITE,Race/Color,,06/14/2019,B19625012
2.01905E+14,2019,7,07/09/2019,49,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,,07/21/2019,B19630132
2.01905E+14,2019,8,08/05/2019,47,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,,08/05/2019,B19632323
2.01904E+14,2019,10,10/22/2019,43,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ISLAMIC(MUSLIM),Religion/Religious Practice,,10/22/2019,B19642917
2.01904E+14,2019,10,10/22/2019,43,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ISLAMIC(MUSLIM),Religion/Religious Practice,,10/22/2019,B19642921
2.01907E+14,2019,12,12/27/2019,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,12/28/2019,B19650852
2.02004E+14,2020,2,02/06/2020,44,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL(GAY),Sexual Orientation,,02/06/2020,B20604576
2.02004E+14,2020,3,03/28/2020,44,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,,03/28/2020,B20610471
2.02004E+14,2020,3,03/28/2020,44,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,,03/28/2020,B20610472
2.02004E+14,2020,3,03/28/2020,44,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,,03/28/2020,B20610474
2.02005E+14,2020,4,04/12/2020,49,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,04/29/2020,B20612516
2.02004E+14,2020,7,07/07/2020,40,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL(GAY),Sexual Orientation,,07/07/2020,B20618491
2.02004E+14,2020,7,07/07/2020,40,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL(GAY),Sexual Orientation,,07/07/2020,B20618495
2.02004E+14,2020,7,07/31/2020,40,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,,08/06/2020,B20620351
2.01907E+14,2019,1,01/06/2019,70,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,,01/06/2019,K19601160
2.01908E+14,2019,1,01/14/2019,84,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,,01/14/2019,K19602702
2.01906E+14,2019,1,01/15/2019,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MURDER & NON-NEGL. MANSLAUGHTE,"MURDER,UNCLASSIFIED",ANTI-ASIAN,Race/Color,,01/16/2019,K19603005
2.01907E+14,2019,1,01/30/2019,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,,01/30/2019,K19605600
2.01907E+14,2019,1,01/30/2019,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,,01/30/2019,K19605601
2.01907E+14,2019,1,01/30/2019,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,,01/30/2019,K19605788
2.01907E+14,2019,2,02/08/2019,71,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,,02/08/2019,K19607574
2.01906E+14,2019,2,02/04/2019,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,02/27/2019,K19610821
2.01907E+14,2019,3,03/11/2019,67,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,,03/11/2019,K19613125
2.01908E+14,2019,3,03/29/2019,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL(GAY),Sexual Orientation,,03/29/2019,K19616639
